Position,Gross
CMF,"$108,542.83"
GUIDANCE COUNSELOR ES 191,"$108,536.22"
TEACHER,"$108,518.54"
TEACHER,"$108,451.43"
TEACHER,"$108,408.64"
TEACHER,"$108,404.72"
TEACHER,"$108,389.28"
TEACHER,"$108,383.00"
MATH SPECIALIST; TEACHER,"$108,353.64"
TEACHER,"$108,249.72"
LITERACY SPECIALIST; TEACHER,"$108,229.64"
TEACHER,"$108,123.68"
INTERVENTION SPECIALIST; TEACHER,"$108,086.14"
TEACHER,"$108,059.64"
TEACHER,"$108,012.57"
TEACHER,"$107,849.29"
ADMIN; ASST DIRECTOR SERS,"$107,780.68"
TEACHER,"$107,749.58"
TEACHER,"$107,741.72"
TEACHER,"$107,714.97"
ADMIN; ASST DIRECTOR SERS,"$107,604.10"
TEACHER; TEACHER MARKETING,"$107,573.01"
INTERVENTION SPECIALIST; TEACHER,"$107,567.29"
TEACHER,"$107,557.14"
TEACHER,"$107,527.22"
TEACHER,"$107,520.04"
ADMIN; ES & MS PRINCIPAL,"$107,478.40"
TEACHER,"$107,434.54"
MATH SPECIALIST; TEACHER,"$107,383.86"
TEACHER,"$107,349.71"
INTERVENTION SPECIALIST; TEACHER,"$107,223.75"
TEACHER,"$107,174.16"
TEACHER,"$107,114.64"
TEACHER,"$107,114.32"
TEACHER,"$107,094.64"
TEACHER,"$107,086.11"
TEACHER,"$107,071.96"
TEACHER,"$107,032.68"
ADMIN; SUPERVISOR STRS,"$107,026.50"
TEACHER,"$107,013.04"
INTERVENTION SPECIALIST; TEACHER,"$106,907.97"
TEACHER,"$106,883.97"
EL SPECIALIST PT/JS; TEACHER,"$106,826.98"
INTERVENTION SPECIALIST; TEACHER,"$106,777.04"
TEACHER,"$106,759.13"
TEACHER,"$106,719.68"
TEACHER,"$106,650.96"
INTERVENTION SPECIALIST; TEACHER,"$106,574.46"
TEACHER,"$106,477.04"
ADMIN; ASST DIRECTOR SERS,"$106,464.60"
TEACHER,"$106,427.04"
TEACHER,"$106,402.04"
TEACHER,"$106,402.04"
TEACHER,"$106,402.04"
MATH SPECIALIST; TEACHER,"$106,401.64"
ADMIN; ES & MS PRINCIPAL,"$106,335.40"
TEACHER,"$106,273.64"
TEACHER,"$106,095.03"
DIRECTOR SERS,"$106,093.80"
TEACHER,"$106,065.96"
ADMIN; ASST DIRECTOR STRS,"$106,037.10"
TEACHER,"$106,027.04"
INTERVENTION SPECIALIST,"$106,002.04"
TEACHER,"$106,002.04"
TEACHER,"$105,914.72"
TEACHER,"$105,906.00"
TEACHER,"$105,806.72"
TEACHER,"$105,742.14"
TEACHER,"$105,713.72"
INTERVENTION SPECIALIST; TEACHER,"$105,608.28"
TEACHER,"$105,608.22"
TEACHER,"$105,469.98"
TEACHER,"$105,469.64"
TEACHER,"$105,459.22"
TEACHER,"$105,456.72"
LIBRARY/MEDIA SPC ES; TEACHER,"$105,455.64"
TEACHER,"$105,440.03"
TEACHER,"$105,362.96"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$105,336.76"
TEACHER,"$105,327.72"
CLAS-NON; NETWORK SPECIALIST,"$105,310.47"
EL SPECIALIST; TEACHER,"$105,149.22"
TEACHER,"$105,094.36"
TEACHER,"$105,001.14"
TEACHER,"$104,910.32"
ADMIN; ES & MS PRINCIPAL,"$104,876.70"
TEACHER,"$104,865.96"
ADMIN; ES & MS PRINCIPAL,"$104,836.00"
ADMIN; MS & HS ASST PRINCIPAL,"$104,799.80"
TEACHER,"$104,753.86"
ADAPTED PHYS EDUCATION; TEACHER,"$104,740.00"
INTERVENTION SPECIALIST; TEACHER,"$104,710.78"
TEACHER,"$104,665.64"
TEACHER,"$104,653.18"
TEACHER,"$104,628.28"
EL SPECIALIST; TEACHER,"$104,568.03"
TEACHER,"$104,524.68"
TEACHER,"$104,517.72"
GUIDANCE COUNSELOR ES 191; TEACHER,"$104,414.62"
LITERACY SPECIALIST; TEACHER,"$104,405.21"
TEACHER,"$104,348.28"
TEACHER,"$104,348.28"
TEACHER,"$104,348.28"
TEACHER,"$104,341.00"
INTERVENTION SPECIALIST; TEACHER,"$104,325.25"
TEACHER,"$104,317.18"
TEACHER,"$104,314.53"
TEACHER,"$104,269.28"
TEACHER,"$104,232.78"
EL SPECIALIST; TEACHER,"$104,224.18"
TEACHER,"$103,999.06"
TEACHER,"$103,969.97"
TEACHER,"$103,969.96"
TEACHER,"$103,924.47"
INTERVENTION SPECIALIST; TEACHER,"$103,853.75"
ADMIN; ASST DIRECTOR STRS,"$103,829.20"
INTERVENTION SPECIALIST; TEACHER,"$103,780.28"
EL SPECIALIST; TEACHER,"$103,707.14"
TEACHER,"$103,673.28"
TEACHER,"$103,598.28"
TEACHER,"$103,573.28"
TEACHER,"$103,556.25"
TEACHER,"$103,548.28"
TEACHER,"$103,548.28"
TEACHER,"$103,548.28"
TEACHER,"$103,429.96"
LITERACY SPECIALIST; TEACHER,"$103,428.00"
TEACHER,"$103,424.96"
EMIS SECRETARY,"$103,407.20"
MATH SPECIALIST; TEACHER,"$103,340.18"
ASST DIRECTOR SERS,"$103,337.50"
ASST DIRECTOR SERS,"$103,337.50"
TEACHER,"$103,305.82"
ADMIN,"$103,190.26"
INTERVENTION SPECIALIST,"$103,148.28"
TEACHER,"$103,124.60"
TEACHER,"$103,094.15"
TEACHER,"$103,084.00"
TEACHER,"$103,019.04"
LIBRARY/MEDIA SPC ES; TEACHER,"$103,014.95"
TEACHER,"$102,962.36"
GUIDANCE COUNSELOR ES 191; TEACHER,"$102,860.36"
CMF; FIELD SERVICE TECH,"$102,824.77"
INTERVENTION SPECIALIST; TEACHER,"$102,814.01"
TEACHER,"$102,763.25"
EL SPECIALIST; TEACHER,"$102,692.67"
INTERVENTION SPECIALIST,"$102,666.04"
TEACHER,"$102,602.32"
INTERVENTION SPECIALIST; TEACHER,"$102,532.96"
ADMIN; MS & HS ASST PRINCIPAL,"$102,316.80"
TEACHER,"$102,300.64"
ADMIN; ES & MS PRINCIPAL,"$102,270.20"
INTERVENTION SPECIALIST,"$102,252.36"
INTERVENTION SPECIALIST,"$102,252.36"
TEACHER,"$102,226.68"
TEACHER,"$102,194.96"
LIBRARY/MEDIA SPC ES; TEACHER,"$102,193.19"
TEACHER,"$102,118.93"
ADMIN; MS & HS ASST PRINCIPAL; TEACHER,"$102,118.76"
LITERACY SPECIALIST; TEACHER,"$102,104.18"
TEACHER,"$102,066.82"
TEACHER,"$102,058.91"
TEACHER,"$102,049.43"
TEACHER,"$101,988.36"
TEACHER,"$101,895.00"
TEACHER,"$101,828.78"
CMF; FIELD SERVICE TECH; SUP-ATHL,"$101,798.66"
TEACHER,"$101,756.96"
TEACHER,"$101,721.82"
EL SPECIALIST; TEACHER,"$101,649.68"
TEACHER,"$101,602.64"
TEACHER,"$101,570.53"
INTERVENTION SPECIALIST; TEACHER,"$101,569.68"
TEACHER,"$101,544.68"
EL SPECIALIST; TEACHER,"$101,544.07"
INTERVENTION SPECIALIST; TEACHER,"$101,494.68"
GUIDANCE COUNSELOR ES 191; TEACHER,"$101,479.56"
EL SPECIALIST; TEACHER,"$101,466.89"
INTERVENTION SPECIALIST; TEACHER,"$101,388.51"
TEACHER,"$101,329.18"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$101,316.17"
TEACHER,"$101,312.18"
LITERACY SPECIALIST; TEACHER,"$101,194.68"
ADMIN; ASST DIRECTOR STRS,"$101,191.20"
INTERVENTION SPECIALIST; TEACHER,"$101,147.93"
INTERVENTION SPECIALIST; TEACHER,"$100,972.21"
INTERVENTION SPECIALIST,"$100,935.64"
ADMIN; ASST DIRECTOR STRS,"$100,881.20"
ADMIN; MS & HS ASST PRINCIPAL,"$100,828.70"
TEACHER,"$100,822.50"
TEACHER,"$100,821.28"
TEACHER,"$100,719.68"
TEACHER,"$100,694.68"
TEACHER,"$100,694.68"
TEACHER,"$100,694.68"
TEACHER,"$100,694.68"
TEACHER,"$100,694.68"
TEACHER,"$100,694.68"
TEACHER,"$100,660.64"
TEACHER,"$100,619.14"
TEACHER,"$100,607.50"
ADMIN; SUPERVISOR STRS,"$100,596.30"
TEACHER,"$100,512.04"
INTERVENTION SPECIALIST; TEACHER,"$100,372.18"
TEACHER,"$100,366.25"
TEACHER,"$100,357.04"
TEACHER,"$100,352.96"
TEACHER,"$100,319.57"
ADMIN; ES & MS PRINCIPAL,"$100,315.40"
TEACHER,"$100,223.00"
TEACHER,"$99,942.32"
TEACHER,"$99,911.75"
TEACHER,"$99,906.07"
INTERVENTION SPECIALIST; TEACHER,"$99,873.82"
ADMIN; SUPERVISOR STRS,"$99,853.20"
TEACHER,"$99,826.96"
ADMIN; SUPERVISOR STRS,"$99,762.40"
INTERVENTION SPECIALIST,"$99,638.00"
ADMIN; ES ASST PRINCIPAL,"$99,592.40"
TEACHER,"$99,552.97"
ADMIN; MS & HS ASST PRINCIPAL,"$99,369.20"
TEACHER,"$99,355.57"
LITERACY SPECIALIST; TEACHER,"$99,352.46"
INTERVENTION SPECIALIST,"$99,303.64"
TEACHER,"$99,234.54"
TEACHER,"$99,206.14"
TEACHER,"$99,183.00"
TEACHER,"$99,163.82"
MATH SPECIALIST; TEACHER,"$99,130.01"
TEACHER,"$99,095.17"
TEACHER,"$98,981.32"
TEACHER,"$98,980.78"
CMF; CUSTODIAN,"$98,940.84"
CLAS-NON; NETWORK SPECIALIST,"$98,938.42"
TEACHER,"$98,903.84"
TEACHER,"$98,891.32"
TEACHER,"$98,873.82"
TEACHER,"$98,777.89"
TEACHER,"$98,731.32"
TEACHER,"$98,641.32"
TEACHER,"$98,641.32"
TEACHER,"$98,641.32"
INTERVENTION SPECIALIST; TEACHER,"$98,571.14"
TEACHER; TEACHER MARKETING,"$98,507.63"
TEACHER,"$98,441.32"
INTERVENTION SPECIALIST; TEACHER,"$98,409.25"
TEACHER,"$98,357.36"
TEACHER,"$98,347.32"
TEACHER,"$98,329.32"
CLAS-NON; TREASURER'S ASSOCIATE,"$98,246.16"
ADMIN; SUPERVISOR STRS,"$98,216.70"
EMIS SECRETARY,"$98,176.12"
TEACHER,"$98,162.07"
TEACHER,"$98,151.31"
TEACHER,"$98,108.18"
EL SPECIALIST; TEACHER,"$98,103.97"
INTERVENTION SPECIALIST; TEACHER,"$98,094.39"
TEACHER,"$98,092.64"
TEACHER,"$98,022.00"
GUIDANCE COUNSELOR ES 191; TEACHER,"$97,957.20"
TEACHER,"$97,954.61"
TEACHER,"$97,946.99"
TEACHER,"$97,912.96"
TEACHER,"$97,841.32"
TEACHER,"$97,841.32"
TEACHER,"$97,745.00"
TEACHER,"$97,683.01"
CMF; MAINTENANCE,"$97,650.39"
INTERVENTION SPECIALIST; TEACHER,"$97,629.00"
EL SPECIALIST; TEACHER,"$97,596.31"
LITERACY SPECIALIST; TEACHER,"$97,550.36"
INTERVENTION SPECIALIST; TEACHER,"$97,466.32"
INTERVENTION SPECIALIST,"$97,441.32"
INTERVENTION SPECIALIST; TEACHER,"$97,420.25"
INTERVENTION SPECIALIST; TEACHER,"$97,405.71"
TEACHER,"$97,102.64"
ADMIN; ES & MS PRINCIPAL,"$97,016.20"
INTERVENTION SPECIALIST; TEACHER,"$96,987.64"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$96,985.47"
TEACHER,"$96,975.86"
ADMIN,"$96,922.84"
ADMIN; SUPERVISOR STRS,"$96,822.50"
ADMIN; SUPERVISOR STRS,"$96,796.50"
TEACHER,"$96,717.79"
TEACHER,"$96,637.14"
TEACHER,"$96,602.07"
INTERVENTION SPECIALIST; TEACHER,"$96,593.39"
TEACHER,"$96,535.50"
CMF; CUSTODIAN,"$96,416.22"
ADMIN; ASST DIRECTOR STRS,"$96,395.40"
TEACHER,"$96,381.86"
TEACHER,"$96,370.85"
NURSE; TEACHER,"$96,357.14"
TEACHER,"$96,353.46"
TEACHER,"$96,313.40"
TEACHER,"$96,204.72"
GUIDANCE COUNSELOR HS 200,"$96,086.85"
ADMIN; ASST DIRECTOR STRS,"$96,029.60"
GUIDANCE COUNSELOR MS 197; TEACHER,"$95,973.03"
CLAS-NON; MECHANIC,"$95,898.00"
TEACHER,"$95,884.04"
ADMIN,"$95,853.53"
TEACHER,"$95,787.64"
TEACHER,"$95,787.64"
TEACHER,"$95,787.64"
LITERACY SPECIALIST; TEACHER,"$95,775.14"
ADMIN; SUPERVISOR STRS,"$95,734.80"
ADMIN; MS & HS ASST PRINCIPAL,"$95,727.10"
TEACHER,"$95,666.64"
TEACHER,"$95,618.96"
TEACHER,"$95,610.32"
TEACHER,"$95,607.64"
TEACHER,"$95,597.14"
ADMIN; ASST DIRECTOR STRS,"$95,529.60"
TEACHER,"$95,425.14"
TEACHER,"$95,339.50"
INTERVENTION SPECIALIST; TEACHER,"$95,315.10"
TEACHER,"$95,287.61"
CLAS-NON; NETWORK SPECIALIST,"$95,264.42"
ADMIN; SUPERVISOR SERS,"$95,116.90"
INTERVENTION SPECIALIST; TEACHER,"$95,087.64"
TEACHER,"$95,052.64"
TEACHER,"$95,012.64"
TEACHER,"$94,987.64"
TEACHER,"$94,987.64"
TEACHER,"$94,987.64"
TEACHER,"$94,987.64"
TEACHER,"$94,987.64"
TEACHER,"$94,987.64"
TEACHER,"$94,975.14"
ADMIN; MS & HS ASST PRINCIPAL,"$94,932.45"
INTERVENTION SPECIALIST; TEACHER,"$94,774.81"
TEACHER,"$94,766.05"
INTERVENTION SPECIALIST; TEACHER,"$94,738.73"
TEACHER,"$94,608.03"
INTERVENTION SPECIALIST,"$94,587.64"
INTERVENTION SPECIALIST,"$94,587.64"
INTERVENTION SPECIALIST,"$94,587.64"
INTERVENTION SPECIALIST; TEACHER,"$94,573.49"
TEACHER,"$94,466.68"
TEACHER,"$94,284.39"
TEACHER,"$94,283.36"
TEACHER,"$94,162.60"
TEACHER,"$94,115.68"
INTERVENTION SPECIALIST; TEACHER,"$93,916.21"
CMF; MAINTENANCE,"$93,842.48"
EL SPECIALIST; TEACHER,"$93,801.90"
TEACHER,"$93,790.95"
TEACHER,"$93,618.55"
INTERVENTION SPECIALIST; TEACHER,"$93,612.93"
ADMIN; SUPERVISOR STRS,"$93,584.10"
TEACHER,"$93,506.96"
TEACHER,"$93,469.21"
INTERVENTION SPECIALIST; TEACHER,"$93,455.86"
TEACHER,"$93,435.18"
TEACHER,"$93,421.96"
TEACHER,"$93,350.35"
INTERVENTION SPECIALIST; TEACHER,"$93,319.21"
TEACHER,"$93,261.96"
ADMIN; SUPERVISOR STRS,"$93,175.60"
CLAS-NON; NETWORK SPECIALIST,"$93,085.87"
TEACHER,"$93,072.57"
TEACHER,"$93,011.46"
TEACHER,"$93,011.45"
TEACHER,"$92,958.96"
TEACHER,"$92,933.96"
TEACHER,"$92,891.46"
TEACHER,"$92,889.71"
TEACHER,"$92,865.64"
GUIDANCE COUNSELOR ES 191,"$92,766.45"
TEACHER,"$92,599.96"
INTERVENTION SPECIALIST; TEACHER,"$92,560.86"
TEACHER,"$92,468.66"
TEACHER,"$92,447.20"
TEACHER,"$92,421.54"
INTERVENTION SPECIALIST; TEACHER,"$92,393.00"
TEACHER,"$92,377.96"
ADMIN; SUPERVISOR STRS,"$92,356.00"
CMF; CUSTODIAN,"$92,309.01"
ADMIN; MS & HS ASST PRINCIPAL,"$92,308.30"
TEACHER,"$92,267.64"
INTERVENTION SPECIALIST; TEACHER,"$92,198.96"
TEACHER,"$92,158.96"
ADMIN; ES ASST PRINCIPAL; TEACHER,"$92,119.34"
INTERVENTION SPECIALIST; TEACHER,"$91,981.97"
CMF; CUSTODIAN,"$91,948.05"
TEACHER,"$91,947.11"
CLAS-NON; NETWORK SPECIALIST,"$91,912.09"
NURSE; TEACHER,"$91,892.72"
INTERVENTION SPECIALIST; TEACHER,"$91,891.43"
TEACHER,"$91,886.28"
TEACHER,"$91,827.64"
TEACHER,"$91,733.96"
INTERVENTION SPECIALIST,"$91,733.96"
INTERVENTION SPECIALIST,"$91,733.96"
INTERVENTION SPECIALIST,"$91,733.95"
INTERVENTION SPECIALIST; TEACHER,"$91,710.14"
ADMIN; ES & MS PRINCIPAL,"$91,671.85"
TEACHER,"$91,572.61"
TEACHER,"$91,467.64"
TEACHER,"$91,467.64"
LITERACY SPECIALIST; TEACHER,"$91,316.98"
INTERVENTION SPECIALIST,"$91,302.00"
TEACHER,"$91,244.28"
GUIDANCE COUNSELOR ES 191,"$91,208.35"
TEACHER,"$91,207.40"
TEACHER,"$91,050.82"
TEACHER,"$90,998.90"
GUIDANCE COUNSELOR ES 191; TEACHER,"$90,838.96"
ADMIN; SUPERVISOR STRS,"$90,835.90"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$90,677.39"
TEACHER,"$90,612.14"
TEACHER,"$90,611.02"
TEACHER,"$90,610.36"
LITERACY SPECIALIST; TEACHER,"$90,565.21"
TEACHER,"$90,543.78"
TEACHER,"$90,537.28"
TEACHER,"$90,494.94"
ADMIN; ASST DIRECTOR SERS,"$90,491.50"
ADMIN; SUPERVISOR STRS; TEACHER,"$90,470.66"
ADMIN; MS & HS ASST PRINCIPAL,"$90,461.30"
MATH SPECIALIST; TEACHER,"$90,433.35"
CLAS-NON; NETWORK SPECIALIST II,"$90,383.58"
TEACHER,"$90,362.78"
TEACHER,"$90,130.01"
EL SPECIALIST; TEACHER,"$90,102.93"
TEACHER,"$90,080.36"
CLAS-NON; TECHNOLOGY SPECIALIST,"$90,060.40"
GUIDANCE COUNSELOR HS 200; TEACHER,"$90,028.81"
TEACHER,"$89,934.64"
GUIDANCE COUNSELOR HS 200,"$89,916.06"
TEACHER,"$89,826.03"
TEACHER,"$89,654.64"
SECRETARY 260,"$89,637.72"
TEACHER,"$89,622.05"
TEACHER,"$89,572.60"
TEACHER,"$89,569.32"
TEACHER,"$89,515.36"
TEACHER,"$89,507.78"
GUIDANCE COUNSELOR ES 191; TEACHER,"$89,399.95"
TEACHER,"$89,330.36"
TEACHER,"$89,317.85"
INTERVENTION SPECIALIST; TEACHER,"$89,284.14"
INTERVENTION SPECIALIST; TEACHER,"$89,273.19"
TEACHER,"$89,226.32"
TEACHER,"$89,221.03"
TEACHER,"$89,220.52"
INTERVENTION SPECIALIST,"$89,182.28"
TEACHER,"$89,112.64"
INTERVENTION SPECIALIST; TEACHER,"$89,088.68"
CMF; CUSTODIAN,"$89,039.61"
TEACHER,"$88,968.00"
TEACHER,"$88,945.27"
ADMIN; MS & HS ASST PRINCIPAL,"$88,929.19"
TEACHER,"$88,899.73"
TEACHER,"$88,825.14"
CMF; CUSTODIAN,"$88,778.93"
TEACHER,"$88,586.60"
CLAS-NON; SECRETARY 260,"$88,561.90"
TEACHER,"$88,544.18"
INTERVENTION SPECIALIST; TEACHER,"$88,527.60"
INTERVENTION SPECIALIST; TEACHER,"$88,200.18"
INTERVENTION SPECIALIST,"$88,118.00"
INTERVENTION SPECIALIST,"$88,118.00"
TEACHER,"$88,109.28"
TEACHER,"$87,929.82"
TEACHER,"$87,925.96"
TEACHER,"$87,918.00"
NURSE; TEACHER,"$87,902.47"
ADAPTED PHYS EDUCATION; TEACHER,"$87,893.00"
TEACHER,"$87,727.37"
TEACHER,"$87,723.47"
NURSE; TEACHER,"$87,672.64"
TEACHER,"$87,658.14"
INTERVENTION SPECIALIST; TEACHER,"$87,570.50"
INTERVENTION SPECIALIST; TEACHER,"$87,570.50"
TEACHER,"$87,554.10"
TEACHER,"$87,525.96"
LIBRARY/MEDIA SPC ES; TEACHER,"$87,441.74"
INTERVENTION SPECIALIST; TEACHER,"$87,411.85"
SECRETARY 260,"$87,339.28"
EL SPECIALIST; TEACHER,"$87,306.64"
INTERVENTION SPECIALIST; TEACHER,"$87,291.35"
EL SPECIALIST; TEACHER,"$87,245.00"
TEACHER,"$87,226.60"
INTERVENTION SPECIALIST; TEACHER,"$87,226.60"
TEACHER,"$87,221.60"
NURSE; TEACHER,"$87,145.36"
TEACHER,"$87,076.68"
INTERVENTION SPECIALIST; TEACHER,"$87,062.89"
ADMIN; ES ASST PRINCIPAL,"$87,014.30"
CMF,"$87,006.65"
TEACHER,"$86,963.64"
CMF; CUSTODIAN,"$86,900.18"
TEACHER,"$86,889.25"
CMF; CUSTODIAN,"$86,831.22"
TEACHER,"$86,781.60"
TEACHER,"$86,743.20"
ADMIN; ES & MS PRINCIPAL,"$86,711.10"
CMF; MAINTENANCE,"$86,635.05"
ADMIN; MS & HS ASST PRINCIPAL,"$86,515.00"
ADMIN; MS & HS ASST PRINCIPAL,"$86,451.30"
TEACHER,"$86,373.14"
TEACHER,"$86,363.21"
TEACHER,"$86,315.00"
INTERVENTION SPECIALIST; TEACHER,"$86,266.64"
CMF; CUSTODIAN,"$86,236.49"
INTERVENTION SPECIALIST; TEACHER,"$86,229.18"
CLAS-NON; TECHNOLOGY SPECIALIST,"$86,220.11"
INTERVENTION SPECIALIST; TEACHER,"$86,120.72"
INTERVENTION SPECIALIST,"$86,026.60"
ADMIN; ES ASST PRINCIPAL,"$85,956.70"
NURSE; TEACHER,"$85,910.32"
TEACHER,"$85,817.50"
ADMIN; SUPERVISOR SERS,"$85,798.08"
GUIDANCE COUNSELOR HS 200; TEACHER,"$85,720.94"
EL SPECIALIST; TEACHER,"$85,699.01"
TEACHER,"$85,600.00"
TEACHER,"$85,573.14"
SUPERVISOR SERS,"$85,482.90"
INTERVENTION SPECIALIST; TEACHER,"$85,476.68"
ADMIN; MS & HS ASST PRINCIPAL,"$85,470.66"
CMF; CUSTODIAN,"$85,405.87"
LIBRARY/MEDIA SPC HS/MS; TEACHER,"$85,331.73"
EL SPECIALIST; TEACHER,"$85,291.04"
INTERVENTION SPECIALIST; TEACHER,"$85,277.50"
ADMIN; SUPERVISOR STRS,"$85,258.40"
TEACHER,"$85,195.75"
TEACHER,"$85,195.00"
TEACHER,"$85,183.14"
TEACHER,"$85,155.00"
TEACHER,"$85,148.25"
TEACHER,"$85,131.04"
TEACHER,"$85,086.14"
TEACHER,"$84,980.72"
ADMIN; MS & HS ASST PRINCIPAL,"$84,979.30"
TEACHER,"$84,965.00"
CMF; CUSTODIAN,"$84,929.85"
TEACHER,"$84,861.06"
MATH SPECIALIST; TEACHER,"$84,851.00"
CMF; CUSTODIAN,"$84,800.60"
TEACHER,"$84,697.36"
INTERVENTION SPECIALIST; TEACHER,"$84,678.07"
TEACHER,"$84,675.68"
ADMIN; MS & HS ASST PRINCIPAL,"$84,514.30"
CMF; CUSTODIAN,"$84,506.17"
TEACHER,"$84,477.00"
ADMIN; ES ASST PRINCIPAL,"$84,436.14"
TEACHER,"$84,395.00"
TEACHER,"$84,372.32"
TEACHER,"$84,372.32"
TEACHER,"$84,367.04"
TEACHER,"$84,319.39"
TEACHER,"$84,316.07"
INTERVENTION SPECIALIST; TEACHER,"$84,227.12"
INTERVENTION SPECIALIST; TEACHER,"$84,196.96"
TEACHER,"$84,196.18"
TEACHER,"$84,160.00"
TEACHER,"$83,994.64"
TEACHER,"$83,994.64"
TEACHER,"$83,988.57"
INTERVENTION SPECIALIST; TEACHER,"$83,861.64"
INTERVENTION SPECIALIST,"$83,777.32"
TEACHER,"$83,735.31"
ADMIN; ES ASST PRINCIPAL,"$83,697.10"
TEACHER,"$83,678.29"
ADMIN,"$83,656.52"
TEACHER,"$83,597.32"
SECRETARY 260,"$83,584.92"
TREASURER'S ASSOCIATE,"$83,564.00"
INTERVENTION SPECIALIST; TEACHER,"$83,560.64"
INTERVENTION SPECIALIST; TEACHER,"$83,329.54"
INTERVENTION SPECIALIST,"$83,320.68"
SECRETARY 260,"$83,304.12"
TEACHER,"$83,294.64"
TEACHER,"$83,194.64"
INTERVENTION SPECIALIST; TEACHER,"$83,193.79"
ADMIN; MS & HS ASST PRINCIPAL,"$83,177.10"
ADMIN; MS & HS ASST PRINCIPAL,"$83,177.10"
TEACHER,"$83,085.82"
TEACHER,"$83,052.28"
CLAS-NON; SECRETARY 260,"$83,044.27"
TEACHER,"$82,932.82"
CLAS-NON; SECRETARY 260,"$82,932.10"
TEACHER,"$82,820.14"
TEACHER,"$82,815.01"
TEACHER,"$82,794.64"
TEACHER,"$82,794.64"
CMF; MAINTENANCE,"$82,786.19"
DRIVER; TRANS DRIVER,"$82,767.50"
TEACHER,"$82,742.39"
CLAS-NON; SECRETARY 260,"$82,717.62"
GUIDANCE COUNSELOR HS 200,"$82,700.90"
TEACHER,"$82,700.68"
EL SPECIALIST; TEACHER,"$82,697.62"
TEACHER,"$82,560.68"
TEACHER,"$82,511.00"
TEACHER,"$82,409.82"
TEACHER,"$82,286.46"
INTERVENTION SPECIALIST; TEACHER,"$82,277.04"
ADMIN,"$82,183.50"
EL SPECIALIST; TEACHER,"$82,177.39"
TEACHER,"$82,148.30"
ADMIN; SUPERVISOR SERS,"$82,072.30"
TEACHER,"$82,057.04"
SECRETARY 260,"$82,016.67"
MATH SPECIALIST; TEACHER,"$81,979.78"
ADAPTED PHYS EDUCATION; TEACHER,"$81,946.64"
CMF; CUSTODIAN,"$81,853.37"
TEACHER,"$81,828.32"
INTERVENTION SPECIALIST; TEACHER,"$81,825.46"
TEACHER,"$81,825.46"
TEACHER,"$81,751.14"
ADMIN; MS & HS ASST PRINCIPAL,"$81,677.10"
ADMIN; MS & HS ASST PRINCIPAL,"$81,677.10"
TECHNOLOGY SPECIALIST,"$81,608.92"
TEACHER,"$81,596.14"
TEACHER,"$81,557.00"
INTERVENTION SPECIALIST; TEACHER,"$81,540.32"
ADMIN; SUPERVISOR STRS; TEACHER,"$81,495.41"
NURSE; TEACHER,"$81,491.90"
TEACHER,"$81,489.68"
TEACHER,"$81,469.72"
TEACHER,"$81,421.17"
TEACHER,"$81,414.93"
INTERVENTION SPECIALIST; TEACHER,"$81,409.40"
NURSE; TEACHER,"$81,343.04"
TEACHER,"$81,254.47"
TEACHER,"$81,199.89"
INTERVENTION SPECIALIST; TEACHER,"$81,174.06"
TEACHER,"$81,119.88"
INTERVENTION SPECIALIST; TEACHER,"$81,045.20"
TEACHER,"$80,994.64"
TEACHER,"$80,947.96"
TEACHER,"$80,913.64"
TEACHER,"$80,845.10"
CMF; SUPERVISOR SERS,"$80,823.02"
INTERVENTION SPECIALIST; TEACHER,"$80,744.64"
INTERVENTION SPECIALIST; TEACHER,"$80,702.96"
PROJECT COORDINATOR SERS,"$80,697.10"
CLAS-NON; SECRETARY 260,"$80,646.66"
TEACHER,"$80,597.96"
CMF; FIELD SERVICE TECH,"$80,592.41"
CMF; MAINTENANCE,"$80,397.58"
INTERVENTION SPECIALIST; TEACHER,"$80,347.96"
TEACHER,"$80,347.96"
INTERVENTION SPECIALIST,"$80,318.64"
INTERVENTION SPECIALIST; TEACHER,"$80,313.32"
CMF; CUSTODIAN,"$80,238.09"
TEACHER,"$80,238.07"
INTERVENTION SPECIALIST; TEACHER,"$80,235.54"
TEACHER,"$80,175.50"
INTERVENTION SPECIALIST; TEACHER,"$80,037.99"
TEACHER,"$80,014.14"
DRIVER; TRANS DRIVER,"$80,008.82"
ADMIN; ES ASST PRINCIPAL,"$79,971.80"
ADMIN; PROJECT COORDINATOR STRS,"$79,950.70"
INTERVENTION SPECIALIST; TEACHER,"$79,932.25"
TEACHER,"$79,891.00"
TEACHER,"$79,808.06"
TEACHER,"$79,796.13"
TEACHER,"$79,784.39"
TEACHER,"$79,760.64"
GUIDANCE COUNSELOR HS 200; TEACHER,"$79,735.82"
TEACHER,"$79,712.66"
TEACHER,"$79,696.76"
CMF; FIELD SERVICE TECH,"$79,690.99"
TEACHER,"$79,680.84"
TEACHER,"$79,672.57"
NURSE; TEACHER,"$79,602.96"
TEACHER,"$79,577.00"
DRIVER; TRANS DRIVER,"$79,521.52"
TEACHER,"$79,464.32"
TEACHER,"$79,389.32"
TEACHER,"$79,388.14"
